"A10","A3","A7","B5","B9","C11","C4","C6","D11","E10","F10","F5","G4","H7","fitness"
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1408.28063241107
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2426.54893617021
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1959.89699570815
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1409.33195020747
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1404.60337552743
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1990.66810344828
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2627.85283018868
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1385.48314606742
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1459.15354330709
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1379.12266112266
0,0,0,0,0,0,0,0,1,0,0,0,0,1,2909.61339092873
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1396.5119047619
0,0,0,0,0,0,0,0,1,0,0,0,0,1,2760.16599190283
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1271.52766798419
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2309.29779411765
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1345.30769230769
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1310.02350813743
0,0,1,0,0,0,0,0,1,0,0,0,0,0,2541.44488188976
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1451.1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1481
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1421.84924623116
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1469.71428571429
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1427.20093457944
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406.15450643777
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1477.50438596491
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1756.845
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420.38461538462
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1408.68636363636
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1403.77235772358
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1458.51666666667
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1399.05220883534
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2390.46887966805
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1374.2017167382
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1989.11570247934
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1400.3
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2307.79924242424
0,0,0,0,0,0,0,0,1,0,1,0,0,0,3132.99604743083
0,0,0,0,0,0,0,0,1,0,0,1,0,0,4607.82364341085
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1909.96624472574
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1365.5905511811
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1501.65030674847
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1478.09523809524
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1438.77900552486
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1396.80188679245
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1381.07109004739
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396.96732026144
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1480.19130434783
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2411.33333333333
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1913.97119341564
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1950.15789473684
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1919.28389830508
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1748.42510121457
0,0,0,0,0,0,0,0,0,0,0,1,0,0,2035.87951807229
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1389.97925311203
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1394.95473251029
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1430.64658634538
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1390.01838235294
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1368.5421686747
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1365.78423236515
0,0,0,0,0,0,0,0,1,1,0,0,0,0,2618.59868421053
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1962.7306122449
