"SP_1","SP_2","SP_3","SP_4","SP_5","SP_6","SP_7","SP_8","fitness"
0,1,1,0,0,0,1,0,0.07
0,0,1,0,0,0,1,1,0.073
1,0,1,0,0,0,1,0,0.061
0,0,1,1,0,0,1,0,0.077
1,0,0,0,1,0,1,0,0.034
0,0,0,0,1,0,1,1,0.058
0,0,0,0,1,1,1,0,0.027
0,0,0,1,1,0,1,0,0.04
0,1,0,0,1,0,1,0,0.024
0,0,1,0,1,0,1,0,0.057
