"SP_1","SP_2","SP_3","SP_4","SP_5","SP_6","SP_7","SP_8","fitness"
0,1,0,0,0,0,0,0,0.2912875
0,1,1,0,0,0,0,0,0.1844
0,1,1,0,0,0,0,0,0.2015
0,1,1,0,0,0,0,0,0.18645
0,1,1,1,0,0,0,0,0.1926
0,1,1,1,0,0,0,0,0.17425
0,1,1,1,1,0,0,0,0.1243
0,1,1,1,1,0,0,0,0.176
0,1,1,1,1,0,0,0,0.12785
0,1,1,1,1,1,0,0,0.1298
0,1,1,1,1,1,0,0,0.1738
0,1,1,1,1,1,0,0,0.15625
0,1,1,1,1,1,1,0,0.2173
0,1,1,1,1,1,1,0,0.17915
0,1,1,1,1,1,1,1,0.20105
0,1,1,1,1,1,1,1,0.21725
0,1,1,1,1,1,0,1,0.1652
0,1,1,1,1,1,0,1,0.14065
0,1,1,1,1,0,1,0,0.2038
0,1,1,1,1,0,1,0,0.2532
0,1,1,1,1,0,1,0,0.29215
0,1,1,1,1,0,1,1,0.2173
0,1,1,1,1,0,1,1,0.22435
0,1,1,1,1,0,0,1,0.1262
0,1,1,1,1,0,0,1,0.1788
0,1,1,1,1,0,0,1,0.16345
0,1,1,1,0,1,0,0,0.0993
0,1,1,1,0,1,0,0,0.1159
0,1,1,1,0,1,0,0,0.10595
0,1,1,1,0,1,1,0,0.2358
0,1,1,1,0,1,1,0,0.24495
0,1,1,1,0,1,1,1,0.246
0,1,1,1,0,1,1,1,0.2479
0,1,1,1,0,1,0,1,0.193
0,1,1,1,0,1,0,1,0.17465
0,1,1,1,0,0,1,0,0.1738
0,1,1,1,0,0,1,0,0.2534
0,1,1,1,0,0,1,0,0.26525
0,1,1,1,0,0,1,1,0.20105
0,1,1,1,0,0,1,1,0.25105
0,1,1,1,0,0,1,1,0.26475
0,1,1,1,0,0,0,1,0.1577
0,1,1,1,0,0,0,1,0.21355
0,1,1,1,0,0,0,1,0.2085
0,1,1,0,1,1,0,0,0.0896
0,1,1,0,1,1,0,0,0.1533
0,1,1,0,1,1,0,0,0.12745
0,1,1,0,1,1,1,0,0.1493
0,1,1,0,1,1,1,0,0.21095
0,1,1,0,1,1,1,0,0.2255
0,1,1,0,1,1,1,1,0.2254
0,1,1,0,1,1,1,1,0.23835
0,1,1,0,1,0,1,0,0.14305
0,1,1,0,1,0,1,0,0.2184
0,1,1,0,1,0,1,0,0.22955
0,1,1,0,1,0,1,1,0.1544
0,1,1,0,1,0,1,1,0.2176
0,1,1,0,1,0,1,1,0.248516666666667
0,1,1,0,1,0,0,1,0.1603
0,1,1,0,1,0,0,1,0.1721
0,1,1,0,1,0,0,1,0.14515
0,1,1,0,0,1,0,0,0.1736
0,1,1,0,0,1,0,0,0.186666666666667
0,1,1,0,0,1,0,0,0.14955
0,1,1,0,0,1,1,0,0.1751
0,1,1,0,0,1,1,0,0.2633
0,1,1,0,0,1,1,0,0.2782
0,1,1,0,0,1,1,1,0.1624
0,1,1,0,0,1,1,1,0.2627
0,1,1,0,0,1,1,1,0.26415
0,1,1,0,0,1,0,1,0.17695
0,1,1,0,0,1,0,1,0.213866666666667
0,1,1,0,0,1,0,1,0.17725
0,1,1,0,0,0,1,0,0.17905
0,1,1,0,0,0,1,0,0.2287
0,1,1,0,0,0,1,0,0.254625
0,1,1,0,0,0,1,1,0.17995
0,1,1,0,0,0,1,1,0.262966666666667
0,1,1,0,0,0,1,1,0.273716666666667
0,1,1,0,0,0,0,1,0.2166
0,1,1,0,0,0,0,1,0.18575
0,1,0,1,0,0,0,0,0.2943
0,1,0,1,0,0,0,0,0.27415
0,1,0,1,1,0,0,0,0.2624
0,1,0,1,1,0,0,0,0.23105
0,1,0,1,1,1,0,0,0.1961
0,1,0,1,1,1,0,0,0.15975
0,1,0,1,1,1,1,0,0.2177
0,1,0,1,1,1,1,0,0.25325
0,1,0,1,1,1,1,1,0.21095
0,1,0,1,1,1,1,1,0.2437
0,1,0,1,1,0,1,0,0.2644
0,1,0,1,1,0,1,0,0.35005
0,1,0,1,1,0,1,0,0.3284
0,1,0,1,1,0,1,1,0.2251
0,1,0,1,1,0,1,1,0.3336
0,1,0,1,1,0,1,1,0.29905
0,1,0,1,1,0,0,1,0.17
0,1,0,1,1,0,0,1,0.2903
0,1,0,1,1,0,0,1,0.22725
0,1,0,1,0,1,0,0,0.1996
0,1,0,1,0,1,0,0,0.1706
0,1,0,1,0,1,1,0,0.2632
0,1,0,1,0,1,1,0,0.28525
0,1,0,1,0,1,1,1,0.1848
0,1,0,1,0,1,1,1,0.24795
0,1,0,1,0,1,1,1,0.26975
0,1,0,1,0,1,0,1,0.1466
0,1,0,1,0,1,0,1,0.23715
0,1,0,1,0,1,0,1,0.18995
0,1,0,1,0,0,1,0,0.4141
0,1,0,1,0,0,1,0,0.4034
0,1,0,1,0,0,1,1,0.33065
0,1,0,1,0,0,1,1,0.377133333333333
0,1,0,1,0,0,1,1,0.389216666666667
0,1,0,1,0,0,0,1,0.28065
0,1,0,1,0,0,0,1,0.3241
0,1,0,1,0,0,0,1,0.30075
0,1,0,0,1,0,0,0,0.2123
0,1,0,0,1,0,0,0,0.2751
0,1,0,0,1,0,0,0,0.24135
0,1,0,0,1,1,1,0,0.2563
0,1,0,0,1,1,1,0,0.25685
0,1,0,0,1,1,1,1,0.261
0,1,0,0,1,1,1,1,0.2457
0,1,0,0,1,1,0,1,0.0973
0,1,0,0,1,1,0,1,0.1856
0,1,0,0,1,1,0,1,0.14275
0,1,0,0,1,0,1,0,0.2551
0,1,0,0,1,0,1,0,0.3101
0,1,0,0,1,0,1,0,0.33555
0,1,0,0,1,0,1,1,0.2771
0,1,0,0,1,0,1,1,0.3557
0,1,0,0,1,0,1,1,0.38995
0,1,0,0,1,0,0,1,0.2206
0,1,0,0,1,0,0,1,0.2919
0,1,0,0,1,0,0,1,0.24095
0,1,0,0,0,1,1,0,0.1711
0,1,0,0,0,1,1,0,0.2472
0,1,0,0,0,1,1,0,0.27825
0,1,0,0,0,1,1,1,0.3302
0,1,0,0,0,1,1,1,0.2806
0,1,0,0,0,1,1,1,0.30035
0,1,0,0,0,1,0,1,0.1734
0,1,0,0,0,1,0,1,0.2283
0,1,0,0,0,1,0,1,0.17715
0,1,0,0,0,0,1,0,0.2781
0,1,0,0,0,0,1,0,0.36525
0,1,0,0,0,0,1,0,0.40315
0,1,0,0,0,0,1,1,0.2909
0,1,0,0,0,0,1,1,0.3152
0,1,0,0,0,0,1,1,0.25375
0,1,0,0,0,0,0,1,0.2959
0,1,0,0,0,0,0,1,0.3024
0,1,0,0,0,0,0,1,0.31495
0,0,1,0,0,0,0,0,0.000721212121212118
0,0,1,0,0,0,0,0,0.00198888888888889
0,0,1,0,0,0,0,0,0.00373888888888889
0,0,1,1,0,0,0,0,0.0614
0,0,1,1,0,0,0,0,0.1364
0,0,1,1,0,0,0,0,0.13905
0,0,1,1,1,1,0,0,0.1554
0,0,1,1,1,1,0,0,0.13755
0,0,1,1,1,1,1,0,0.1225
0,0,1,1,1,1,1,0,0.1755
0,0,1,1,1,1,1,0,0.21915
0,0,1,1,1,0,1,0,0.146766666666667
0,0,1,1,1,0,1,0,0.2167
0,0,1,1,1,0,1,0,0.22605
0,0,1,1,1,0,1,1,0.1553
0,0,1,1,1,0,1,1,0.1975
0,0,1,1,1,0,1,1,0.25155
0,0,1,1,1,0,0,1,0.1024
0,0,1,1,1,0,0,1,0.1712
0,0,1,1,1,0,0,1,0.14875
0,0,1,1,0,1,0,0,0.0692
0,0,1,1,0,1,0,0,0.0949
0,0,1,1,0,1,0,0,0.12055
0,0,1,1,0,1,1,0,0.1681
0,0,1,1,0,1,1,0,0.2641
0,0,1,1,0,1,1,0,0.31125
0,0,1,1,0,1,1,1,0.2468
0,0,1,1,0,1,1,1,0.26415
0,0,1,1,0,0,1,0,0.164525
0,0,1,1,0,0,1,0,0.208425
0,0,1,1,0,0,1,0,0.2633
0,0,1,1,0,0,1,1,0.1767
0,0,1,1,0,0,1,1,0.2794
0,0,1,1,0,0,1,1,0.27375
0,0,1,1,0,0,0,1,0.0764
0,0,1,1,0,0,0,1,0.1703
0,0,1,1,0,0,0,1,0.16535
0,0,1,0,1,0,0,0,0.1093
0,0,1,0,1,0,0,0,0.142
0,0,1,0,1,0,0,0,0.12865
0,0,1,0,1,1,0,0,0.06975
0,0,1,0,1,1,0,0,0.13375
0,0,1,0,1,1,0,0,0.13085
0,0,1,0,1,1,1,0,0.1351
0,0,1,0,1,1,1,0,0.2361
