,Treatment,Rep,OD,Acetate,Butyrate,Lactate,Succinate,ER,FP,AC,HB,CC,RI,DP,BH,CA,PC,DL,CG,BF,EL,CH,BO,BT,BU,BV,BC,BY,PJ,DF,BL,BP,BA,BA Fraction,CA Fraction,BT Fraction,BU Fraction,PC Fraction,AC Fraction,BH Fraction,CC Fraction,CG Fraction,ER Fraction,DP Fraction,EL Fraction,BY Fraction,BF Fraction,CD Fraction,RI Fraction,BP Fraction,BV Fraction,CH Fraction,DF Fraction,CS Fraction,PJ Fraction,FP Fraction,EH Fraction,EC Fraction,BC Fraction,HB Fraction,BO Fraction,DL Fraction,BL Fraction,B.cereus Fraction,Total,Unclassified,Contamination?,Experiment No.,Sequenced,Peak30,Peak32,Peak35,Peak41,pH
20,BY-ER,0.0,1.1285666666666667,0.0,15.1123,48.8041,26.1739,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015918497293855458,0.0,0.0,0.0,0.2575612862145813,0.0,0.0,0.7410060490289717,0.0,0.0,0.0,0.00015918497293855458,0.0,0.0,0.0,0.0,0.0009551098376313276,0.0,0.0,0.0,0.00015918497293855458,0.0,0.0,0.0,0.0,0.0,6287.0,5.0,No,2.0,MiSeqOSV003,,,,,
21,PJ-ER,0.0,0.8433666666666666,7.4919,34.4075,51.096,24.2358,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.002309824453341546,0.0,0.0,0.0,0.0,0.0,0.0,0.0003079765937788728,0.0,0.4507237449953804,0.0,0.0001539882968894364,0.0,0.0001539882968894364,0.0001539882968894364,0.0001539882968894364,0.0,0.0,0.002309824453341546,0.0024638127502309825,0.0,0.5412688635663689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6498.0,4.0,No,2.0,MiSeqOSV003,,,,,
22,DF-ER,0.0,0.5015666666666666,23.5208,20.4448,58.6899,10.0624,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.00014251104460595695,0.0,0.0,0.0,0.0,0.00014251104460595695,0.0,0.0002850220892119138,0.0,0.4872452615077669,0.0,0.00014251104460595695,0.0,0.0,0.0004275331338178709,0.0,0.0,0.0,0.0005700441784238277,0.5094769844662962,0.0,0.0012825994014536127,0.0,0.0,0.0,0.00014251104460595695,0.0,0.0,0.00014251104460595695,0.0,0.0,7027.0,10.0,No,2.0,MiSeqOSV003,,,,,
23,BL-ER,0.0,1.1487666666666667,24.3342,24.9172,44.1762,7.8007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0004127115146512588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5522080066033842,0.0,0.0,0.014857614527445316,0.0,0.0,0.0,0.0,0.0,0.0,0.009286009079653322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42323565827486587,0.0,4866.0,20.0,Yes,2.0,MiSeqOSV003,,,,,
24,BP-ER,0.0,1.282166666666667,61.1995,0.7309,57.9289,8.302999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0001539408866995074,0.0,0.0,0.0,0.0,0.00046182266009852215,0.0,0.0,0.0,0.004310344827586207,0.0001539408866995074,0.0,0.02478448275862069,0.0,0.0001539408866995074,0.0,0.9698275862068966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001539408866995074,0.0,0.0,0.0,6499.0,3.0,Yes,2.0,MiSeqOSV003,,,,,
25,BA-ER,0.0,0.8353666666666666,49.2108,1.4761,49.7069,7.2562,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9894928268337038,0.0,0.0,0.0,0.00020206102242877348,0.00040412204485754696,0.00020206102242877348,0.00040412204485754696,0.0,0.007880379874722166,0.0,0.0,0.0,0.00020206102242877348,0.0006061830672863204,0.0,0.00020206102242877348,0.00020206102242877348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020206102242877348,0.0,0.0,0.0,0.0,0.0,4949.0,0.0,No,2.0,MiSeqOSV003,,,,,
26,ER-FP,0.0,0.9103666666666664,0.0,20.4444,35.5516,9.0744,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LowReads,2.0,MiSeqOSV003,,,,,
27,FP,0.0,0.7815666666666666,0.0,26.0659,42.9937,13.2329,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000726920281075842,0.000242306760358614,0.0,0.000242306760358614,0.000242306760358614,0.9195541555609399,0.0,0.000484613520717228,0.0,0.030530651805185362,0.0,0.0,0.0,0.0,0.0,0.0,0.000484613520717228,0.0,0.0,0.0,0.0,0.0,0.04749212503028834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4128.0,1.0,Yes,2.0,MiSeqOSV003,,,,,
28,AC-FP,0.0,0.6595666666666666,2.7682,28.3078,47.8327,12.3695,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023668639053254438,0.0,0.0,0.0,0.9398816568047336,0.0,0.00023668639053254438,0.0,0.0007100591715976331,0.0,0.0,0.00023668639053254438,0.0,0.00047337278106508875,0.0,0.0,0.028639053254437868,0.0,0.0,0.0,0.0,0.029349112426035506,0.0,0.0,0.0,0.0,0.0,0.00023668639053254438,0.0,0.0,4225.0,0.0,Yes,2.0,MiSeqOSV003,,,,,
29,FP-HB,0.0,1.6533666666666669,2.6808,57.4259,35.9417,13.4318,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3957939508506616,0.0,0.600897920604915,0.0002362948960302457,0.0,0.0,0.0,0.0,0.0,0.0004725897920604915,0.0002362948960302457,0.0,0.0,0.0,0.0,0.0,0.0,0.002362948960302457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4240.0,8.0,Yes,2.0,MiSeqOSV003,,,,,
